Ciudad,mes,n,pct_masificacion,pct_malo
Barcelona,1,6896,0.016531322505800465,0.03900812064965197
Barcelona,2,6904,0.016801853997682505,0.03592120509849363
Barcelona,3,12483,0.017063205960105743,0.034206520868380996
Barcelona,4,15014,0.028906354069535102,0.04369255361662448
Barcelona,5,17311,0.028190168101207325,0.04915949396337589
Barcelona,6,15538,0.02329772171450637,0.04588750160895868
Barcelona,7,16453,0.02625660973682611,0.041633744605846956
Barcelona,8,13884,0.01944684528954192,0.04299913569576491
Barcelona,9,13797,0.026310067405957815,0.045444661883018045
Barcelona,10,15414,0.028675230310107696,0.051576488906189176
Barcelona,11,10538,0.020971721389257923,0.046403492123742646
Barcelona,12,7101,0.01337839740881566,0.04337417265173919
Gran Canaria,1,933,0.006430868167202572,0.020364415862808145
Gran Canaria,2,897,0.010033444816053512,0.014492753623188406
Gran Canaria,3,970,0.009278350515463918,0.026804123711340205
Gran Canaria,4,976,0.009221311475409836,0.022540983606557378
Gran Canaria,5,891,0.004489337822671156,0.014590347923681257
Gran Canaria,6,1842,0.0010857763300760044,0.008686210640608035
Gran Canaria,7,3334,0.02429514097180564,0.009898020395920816
Gran Canaria,8,3385,0.037518463810930575,0.009158050221565732
Gran Canaria,9,1081,0.0027752081406105457,0.012950971322849213
Gran Canaria,10,855,0.005847953216374269,0.012865497076023392
Gran Canaria,11,686,0.013119533527696793,0.023323615160349854
Gran Canaria,12,962,0.007276507276507277,0.02079002079002079
Madrid,1,7961,0.012435623665368671,0.05866097223966838
Madrid,2,6890,0.012336719883889695,0.04746008708272859
Madrid,3,11951,0.013555351016651326,0.040331353024851475
Madrid,4,11441,0.024735600034961978,0.057075430469364564
Madrid,5,13660,0.01815519765739385,0.05263543191800878
Madrid,6,10613,0.02054084613210214,0.05361349288608311
Madrid,7,10350,0.016908212560386472,0.051304347826086956
Madrid,8,10040,0.013545816733067729,0.036752988047808764
Madrid,9,9155,0.017476788640087382,0.04380120152921901
Madrid,10,10276,0.024815103152977813,0.05284157259634099
Madrid,11,8381,0.01598854551962773,0.054528099272163226
Madrid,12,7945,0.018753933291378224,0.05890497168030208
Malaga,1,1919,0.014590932777488274,0.024491922876498175
Malaga,2,1856,0.018857758620689655,0.021551724137931036
Malaga,3,2309,0.015158077089649198,0.03334776959722824
Malaga,4,2447,0.028606456885982835,0.0343277482631794
Malaga,5,2766,0.019161243673174257,0.04483007953723789
Malaga,6,2551,0.01724813798510388,0.03057624460995688
Malaga,7,2798,0.019656897784131523,0.03609721229449607
Malaga,8,2826,0.016631280962491155,0.032908704883227176
Malaga,9,2594,0.03161141094834233,0.03700848111025443
Malaga,10,3112,0.02024421593830334,0.02602827763496144
Malaga,11,2053,0.01802240623477837,0.03994154895275207
Malaga,12,1484,0.016172506738544475,0.04110512129380054
Palma de Mallorca,1,82,0.012195121951219513,0.024390243902439025
Palma de Mallorca,2,191,0.005235602094240838,0.020942408376963352
Palma de Mallorca,3,392,0.012755102040816327,0.04591836734693878
Palma de Mallorca,4,734,0.02997275204359673,0.05722070844686648
Palma de Mallorca,5,1057,0.02459791863765374,0.0728476821192053
Palma de Mallorca,6,1175,0.03914893617021276,0.05021276595744681
Palma de Mallorca,7,1524,0.03083989501312336,0.0531496062992126
Palma de Mallorca,8,3813,0.046944662995017046,0.03042223970626803
Palma de Mallorca,9,1071,0.025210084033613446,0.05695611577964519
Palma de Mallorca,10,805,0.03354037267080745,0.07329192546583851
Palma de Mallorca,11,259,0.007722007722007722,0.08108108108108109
Palma de Mallorca,12,109,0.01834862385321101,0.027522935779816515
Seville,1,2743,0.027706890266131972,0.022238425082026978
Seville,2,2932,0.032060027285129605,0.013642564802182811
Seville,3,4299,0.032565712956501514,0.028843917190044196
Seville,4,4257,0.040169133192389,0.03641061780596664
Seville,5,4496,0.04092526690391459,0.03936832740213523
Seville,6,3906,0.03481822836661547,0.038146441372247826
Seville,7,3196,0.03410513141426783,0.025344180225281603
Seville,8,3349,0.02179755150791281,0.02179755150791281
Seville,9,4147,0.03496503496503497,0.026042922594646734
Seville,10,4689,0.03924077628492216,0.03732139048837705
Seville,11,3218,0.036047234307022995,0.027035425730267248
Seville,12,2773,0.03353768481788676,0.02740714028128381
Tenerife,1,1735,0.008645533141210375,0.02824207492795389
Tenerife,2,1796,0.017817371937639197,0.01893095768374165
Tenerife,3,1839,0.022294725394236,0.01794453507340946
Tenerife,4,1898,0.015806111696522657,0.02897787144362487
Tenerife,5,1845,0.01842818428184282,0.02168021680216802
Tenerife,6,2152,0.019516728624535316,0.01812267657992565
Tenerife,7,2999,0.02100700233411137,0.022340780260086696
Tenerife,8,3566,0.0179472798653954,0.019068984856982614
Tenerife,9,2387,0.014243820695433599,0.013405948889819858
Tenerife,10,1758,0.011945392491467578,0.019908987485779295
Tenerife,11,1715,0.023323615160349854,0.030903790087463558
Tenerife,12,1759,0.01023308698123934,0.02046617396247868
Valencia,1,746,0.02546916890080429,0.022788203753351208
Valencia,2,718,0.020891364902506964,0.03203342618384401
Valencia,3,1057,0.02554399243140965,0.023651844843897825
Valencia,4,1266,0.02843601895734597,0.037914691943127965
Valencia,5,1464,0.03551912568306011,0.030054644808743168
Valencia,6,1539,0.03573749187784275,0.04028589993502274
Valencia,7,1680,0.02023809523809524,0.03511904761904762
Valencia,8,1534,0.02216427640156454,0.03650586701434159
Valencia,9,1203,0.014131338320864505,0.034912718204488775
Valencia,10,1270,0.015748031496062992,0.046456692913385826
Valencia,11,746,0.014745308310991957,0.03351206434316354
Valencia,12,623,0.009630818619582664,0.03531300160513644
