Experience ID,Activity Name,Experience Name,Short Description,Category,Destination,Duration (hrs),Price (EUR),Rating,Review Count,Main Features,Monthly Availability
EXP_100000,Excursions & Day Trips in Tenerife,Ruta en bicicleta por el Teide en grupo reducido,Pedalea por el Teide con bicicleta y casco incluidos.,Excursions & Day Trips,Tenerife,3.5,191.88,3.5,153,"['Skip-the-line', 'Wheelchair accessible', 'Instant confirmation']","[111, 68, 102, 94, 42, 50, 83, 78, 69, 58, 86, 92]"
EXP_100001,Excursions & Day Trips in Barcelona,Senderismo por Sitges con degustación incluida,Caminata de dificultad moderada por los senderos de Sitges.,Excursions & Day Trips,Barcelona,1.8,21.04,3.6,855,"['Skip-the-line', 'Wheelchair accessible', 'Free cancellation', 'Mobile ticket']","[51, 73, 74, 59, 90, 67, 113, 82, 72, 53, 67, 44]"
EXP_100002,Attractions & Guided Tours in Madrid,Tour nocturno por el Retiro en grupo reducido,"Recorre el Retiro iluminado, lejos de las aglomeraciones.",Attractions & Guided Tours,Madrid,7.0,178.88,4.2,324,"['Wheelchair accessible', 'Mobile ticket', 'Instant confirmation', 'Free cancellation']","[56, 59, 76, 77, 80, 73, 101, 50, 61, 56, 72, 80]"
EXP_100003,Local Experiences in Malaga,Velada tradicional en Pedregalejo con guía local,Noche de música y cultura local en Pedregalejo.,Local Experiences,Malaga,1.7,127.99,4.2,1443,"['Free cancellation', 'Mobile ticket', 'Skip-the-line']","[51, 47, 60, 105, 118, 119, 118, 119, 108, 75, 55, 36]"
EXP_100004,Tickets and Events in Barcelona,Entrada sin colas a el Park Güell con recogida en el hotel,"Acceso prioritario a el Park Güell, sin esperas.",Tickets and Events,Barcelona,2.2,114.12,4.1,732,"['Wheelchair accessible', 'Free cancellation', 'Skip-the-line', 'Instant confirmation']","[89, 80, 94, 109, 69, 94, 93, 85, 88, 124, 60, 90]"
EXP_100005,Attractions & Guided Tours in Malaga,Recorrido histórico por el Teatro Romano al amanecer,Viaja al pasado de el Teatro Romano de la mano de un historiador.,Attractions & Guided Tours,Malaga,5.3,162.42,3.6,84,"['Mobile ticket', 'Skip-the-line']","[39, 59, 82, 106, 118, 127, 122, 99, 130, 72, 37, 31]"
EXP_100006,Local Experiences in Tenerife,Velada tradicional en el barrio de El Toscal en grupo reducido,Noche de música y cultura local en el barrio de El Toscal.,Local Experiences,Tenerife,3.6,160.21,4.3,1338,"['Instant confirmation', 'Skip-the-line', 'Wheelchair accessible']","[62, 78, 69, 71, 51, 59, 75, 62, 63, 49, 52, 55]"
EXP_100007,Attractions & Guided Tours in Gran Canaria,Visita con acceso preferente a Triana al amanecer,Entra sin esperas a Triana con entrada incluida.,Attractions & Guided Tours,Gran Canaria,7.0,168.09,3.7,1077,"['Skip-the-line', 'Wheelchair accessible', 'Mobile ticket', 'Instant confirmation']","[91, 123, 94, 93, 101, 104, 121, 105, 84, 93, 60, 67]"
EXP_100008,Local Experiences in Seville,Encuentro con artesanos de Triana en grupo reducido,Conoce talleres locales de Triana y su oficio tradicional.,Local Experiences,Seville,1.5,164.18,3.5,775,"['Wheelchair accessible', 'Free cancellation']","[0, 0, 209, 164, 167, 190, 0, 149, 143, 173, 0, 0]"
EXP_100009,Attractions & Guided Tours in Gran Canaria,Tour nocturno por Vegueta,"Recorre Vegueta iluminado, lejos de las aglomeraciones.",Attractions & Guided Tours,Gran Canaria,5.1,235.66,4.4,699,"['Mobile ticket', 'Wheelchair accessible', 'Skip-the-line']","[133, 62, 103, 87, 68, 57, 92, 83, 87, 84, 121, 80]"
EXP_100010,Transfers in Madrid,Traslado de ida y vuelta al aeropuerto en vehículo eléctrico con espera incluida,"Ambos trayectos cubiertos, en vehículo eléctrico. Madrid.",Transfers,Madrid,3.7,164.39,4.2,955,"['Free cancellation', 'Instant confirmation']","[70, 98, 101, 144, 130, 104, 121, 58, 86, 79, 80, 61]"
EXP_100011,Excursions & Day Trips in Gran Canaria,Excursión a Tejeda con guía local,Escapada de un día a Tejeda con transporte de ida y vuelta.,Excursions & Day Trips,Gran Canaria,4.8,235.95,4.1,1421,"['Mobile ticket', 'Instant confirmation']","[118, 80, 56, 52, 69, 83, 127, 171, 74, 54, 39, 75]"
EXP_100012,Attractions & Guided Tours in Valencia,Free tour por la Lonja de la Seda edición premium,Paseo introductorio por la Lonja de la Seda con anécdotas e historia.,Attractions & Guided Tours,Valencia,7.7,227.28,3.8,1027,"['Skip-the-line', 'Instant confirmation']","[47, 57, 59, 70, 96, 81, 82, 61, 45, 54, 48, 77]"
EXP_100013,Attractions & Guided Tours in Barcelona,Tour nocturno por el Park Güell con degustación incluida,"Recorre el Park Güell iluminado, lejos de las aglomeraciones.",Attractions & Guided Tours,Barcelona,1.5,34.19,3.5,1064,"['Skip-the-line', 'Instant confirmation', 'Wheelchair accessible', 'Free cancellation']","[60, 79, 62, 56, 64, 70, 148, 67, 95, 54, 72, 60]"
EXP_100014,Tickets and Events in Malaga,Entrada combinada: el Teatro Romano con degustación incluida,Ticket combinado que incluye el Teatro Romano y museos asociados.,Tickets and Events,Malaga,1.7,173.92,3.6,280,"['Instant confirmation', 'Free cancellation', 'Wheelchair accessible', 'Skip-the-line']","[54, 59, 60, 90, 76, 66, 80, 99, 133, 71, 48, 44]"
EXP_100015,Local Experiences in Valencia,Encuentro con artesanos de Ruzafa con recogida en el hotel,Conoce talleres locales de Ruzafa y su oficio tradicional.,Local Experiences,Valencia,3.2,212.77,3.5,721,"['Skip-the-line', 'Wheelchair accessible']","[75, 63, 60, 93, 81, 113, 91, 58, 48, 87, 67, 43]"
EXP_100016,Transfers in Seville,Traslado privado aeropuerto-hotel en autobús lanzadera 24 horas,"Conductor esperándote a la llegada, trayecto directo en autobús lanzadera. Seville.",Transfers,Seville,6.7,77.65,3.7,1242,"['Skip-the-line', 'Wheelchair accessible']","[60, 107, 66, 75, 100, 58, 53, 56, 91, 120, 66, 67]"
EXP_100017,Transfers in Madrid,Traslado nocturno con silla infantil incluida con asistencia a la llegada,"Servicio disponible en horario nocturno, con silla infantil incluida. Madrid.",Transfers,Madrid,5.9,160.95,4.8,802,"['Instant confirmation', 'Free cancellation', 'Wheelchair accessible', 'Mobile ticket']","[58, 99, 84, 81, 91, 94, 113, 60, 109, 94, 87, 119]"
EXP_100018,Local Experiences in Palma de Mallorca,Cata de sobrasada mallorquina edición premium,Degustación comentada de sobrasada mallorquina en un local con encanto.,Local Experiences,Palma de Mallorca,6.1,202.84,3.9,1491,"['Free cancellation', 'Skip-the-line', 'Mobile ticket']","[46, 70, 64, 75, 106, 144, 156, 105, 112, 77, 71, 50]"
EXP_100019,Local Experiences in Gran Canaria,Experiencia gastronómica: mojo canario con recogida en el hotel,Menú degustación en torno a mojo canario con maridaje.,Local Experiences,Gran Canaria,2.2,190.15,4.7,1051,"['Wheelchair accessible', 'Mobile ticket', 'Instant confirmation']","[103, 103, 74, 79, 95, 124, 86, 92, 53, 90, 69, 84]"
EXP_100020,Excursions & Day Trips in Malaga,Ruta en bicicleta por Nerja con guía local,Pedalea por Nerja con bicicleta y casco incluidos.,Excursions & Day Trips,Malaga,7.9,109.03,4.1,496,"['Instant confirmation', 'Free cancellation', 'Wheelchair accessible']","[26, 35, 31, 42, 115, 53, 79, 127, 152, 34, 23, 20]"
EXP_100021,Transfers in Valencia,Chófer por horas en minivan con cancelación gratuita,"Vehículo con conductor a tu disposición, en minivan. Valencia.",Transfers,Valencia,6.4,91.79,4.9,833,"['Instant confirmation', 'Free cancellation', 'Mobile ticket', 'Wheelchair accessible']","[113, 63, 84, 114, 108, 93, 110, 74, 84, 72, 63, 53]"
EXP_100022,Attractions & Guided Tours in Malaga,Recorrido histórico por el Teatro Romano edición premium,Viaja al pasado de el Teatro Romano de la mano de un historiador.,Attractions & Guided Tours,Malaga,7.0,112.96,4.6,1429,"['Mobile ticket', 'Free cancellation', 'Wheelchair accessible', 'Instant confirmation']","[62, 77, 76, 93, 93, 96, 103, 111, 95, 118, 70, 42]"
EXP_100023,Tickets and Events in Barcelona,Espectáculo tradicional en la Barceloneta con guía local,Función de música y danza tradicional en la Barceloneta.,Tickets and Events,Barcelona,6.3,34.75,4.9,472,"['Mobile ticket', 'Instant confirmation']","[37, 36, 71, 60, 67, 40, 80, 67, 43, 46, 48, 43]"
EXP_100024,Tickets and Events in Malaga,Entrada a el Teatro Romano edición premium,Acceso general a el Teatro Romano con horario a tu elección.,Tickets and Events,Malaga,4.5,208.35,4.0,1229,"['Wheelchair accessible', 'Mobile ticket', 'Free cancellation']","[60, 67, 76, 96, 142, 54, 119, 114, 111, 72, 36, 51]"
EXP_100025,Attractions & Guided Tours in Tenerife,Tour nocturno por La Laguna con degustación incluida,"Recorre La Laguna iluminado, lejos de las aglomeraciones.",Attractions & Guided Tours,Tenerife,7.3,103.41,3.5,1188,"['Skip-the-line', 'Instant confirmation', 'Wheelchair accessible']","[166, 66, 118, 80, 81, 64, 84, 131, 96, 130, 111, 98]"
EXP_100026,Tickets and Events in Palma de Mallorca,Entrada sin colas a los patios de Palma edición premium,"Acceso prioritario a los patios de Palma, sin esperas.",Tickets and Events,Palma de Mallorca,7.3,31.91,4.0,511,"['Wheelchair accessible', 'Mobile ticket']","[83, 69, 93, 86, 111, 104, 170, 93, 131, 77, 69, 54]"
EXP_100027,Transfers in Palma de Mallorca,Traslado al puerto de cruceros en vehículo eléctrico con cancelación gratuita,"Llega a tu crucero sin estrés, en vehículo eléctrico. Palma de Mallorca.",Transfers,Palma de Mallorca,7.7,238.15,4.4,239,"['Instant confirmation', 'Skip-the-line', 'Mobile ticket', 'Free cancellation']","[54, 50, 37, 72, 68, 96, 174, 129, 75, 47, 33, 20]"
EXP_100028,Excursions & Day Trips in Malaga,Escapada rural a Nerja con degustación incluida,Jornada completa en Nerja con tiempo libre para explorar.,Excursions & Day Trips,Malaga,5.4,117.63,3.9,483,"['Skip-the-line', 'Wheelchair accessible', 'Instant confirmation']","[39, 56, 93, 102, 55, 113, 154, 128, 159, 39, 32, 31]"
EXP_100029,Transfers in Malaga,Traslado privado aeropuerto-hotel en vehículo eléctrico,"Conductor esperándote a la llegada, trayecto directo en vehículo eléctrico. Malaga.",Transfers,Malaga,3.3,171.4,4.6,1100,"['Instant confirmation', 'Mobile ticket']","[34, 81, 77, 104, 79, 119, 168, 111, 104, 72, 34, 32]"
EXP_100030,Local Experiences in Malaga,Taller de espetos y pescaíto edición premium,Aprende a preparar espetos y pescaíto con un cocinero local.,Local Experiences,Malaga,6.5,199.51,3.6,1246,"['Wheelchair accessible', 'Free cancellation', 'Instant confirmation', 'Skip-the-line']","[0, 0, 125, 0, 125, 198, 152, 120, 145, 115, 0, 0]"
EXP_100031,Tickets and Events in Palma de Mallorca,Festival gastronómico: vinos de Binissalem para toda la familia,Jornada festiva en torno a vinos de Binissalem con degustaciones.,Tickets and Events,Palma de Mallorca,4.5,23.81,4.3,771,"['Mobile ticket', 'Skip-the-line']","[53, 61, 69, 132, 82, 60, 157, 89, 88, 89, 27, 26]"
EXP_100032,Tickets and Events in Tenerife,Festival gastronómico: vinos volcánicos para toda la familia,Jornada festiva en torno a vinos volcánicos con degustaciones.,Tickets and Events,Tenerife,4.1,223.05,4.0,189,"['Skip-the-line', 'Mobile ticket', 'Free cancellation']","[75, 85, 113, 106, 96, 63, 55, 102, 80, 103, 107, 98]"
EXP_100033,Excursions & Day Trips in Valencia,Paseo en barco por Xàtiva,Navegación tranquila con vistas a Xàtiva.,Excursions & Day Trips,Valencia,1.8,44.32,4.6,84,"['Instant confirmation', 'Free cancellation']","[77, 76, 93, 73, 87, 102, 137, 91, 93, 64, 47, 62]"
EXP_100034,Transfers in Malaga,Traslado nocturno en sedán premium 24 horas,"Servicio disponible en horario nocturno, en sedán premium. Malaga.",Transfers,Malaga,5.3,34.27,3.6,597,"['Mobile ticket', 'Skip-the-line']","[33, 44, 52, 51, 84, 127, 130, 119, 139, 101, 45, 51]"
EXP_100035,Attractions & Guided Tours in Valencia,Tour nocturno por la Catedral con recogida en el hotel,"Recorre la Catedral iluminado, lejos de las aglomeraciones.",Attractions & Guided Tours,Valencia,5.9,27.46,4.7,1181,"['Free cancellation', 'Mobile ticket']","[74, 64, 74, 62, 74, 88, 130, 152, 61, 84, 47, 70]"
EXP_100036,Tickets and Events in Gran Canaria,Espectáculo tradicional en Vegueta en grupo reducido,Función de música y danza tradicional en Vegueta.,Tickets and Events,Gran Canaria,5.9,29.52,3.6,1467,"['Instant confirmation', 'Skip-the-line', 'Mobile ticket', 'Free cancellation']","[79, 47, 91, 56, 55, 50, 59, 81, 62, 71, 70, 93]"
EXP_100037,Local Experiences in Tenerife,Cata de mojos y papas arrugadas,Degustación comentada de mojos y papas arrugadas en un local con encanto.,Local Experiences,Tenerife,7.9,99.82,4.1,542,"['Skip-the-line', 'Instant confirmation']","[80, 53, 97, 61, 83, 70, 69, 81, 103, 109, 64, 70]"
EXP_100038,Transfers in Madrid,Traslado nocturno en autobús lanzadera con seguimiento de vuelo,"Servicio disponible en horario nocturno, en autobús lanzadera. Madrid.",Transfers,Madrid,6.7,237.34,5.0,1289,"['Instant confirmation', 'Skip-the-line', 'Mobile ticket']","[127, 82, 113, 110, 123, 83, 61, 50, 82, 95, 89, 150]"
EXP_100039,Tickets and Events in Malaga,Entrada combinada: el centro histórico para toda la familia,Ticket combinado que incluye el centro histórico y museos asociados.,Tickets and Events,Malaga,6.3,100.3,3.6,200,"['Skip-the-line', 'Wheelchair accessible', 'Instant confirmation']","[63, 40, 66, 62, 68, 80, 110, 74, 100, 44, 42, 67]"
EXP_100040,Tickets and Events in Madrid,Entrada sin colas a el Madrid de los Austrias edición premium,"Acceso prioritario a el Madrid de los Austrias, sin esperas.",Tickets and Events,Madrid,6.4,144.02,4.1,228,"['Free cancellation', 'Wheelchair accessible']","[82, 115, 84, 99, 86, 78, 61, 78, 68, 99, 101, 83]"
EXP_100041,Excursions & Day Trips in Valencia,Excursión a Requena con guía local,Escapada de un día a Requena con transporte de ida y vuelta.,Excursions & Day Trips,Valencia,7.3,36.69,4.2,647,"['Wheelchair accessible', 'Free cancellation', 'Instant confirmation']","[69, 93, 88, 128, 67, 104, 79, 80, 134, 99, 47, 40]"
EXP_100042,Excursions & Day Trips in Tenerife,Excursión a Masca para toda la familia,Escapada de un día a Masca con transporte de ida y vuelta.,Excursions & Day Trips,Tenerife,1.1,122.48,3.6,392,"['Free cancellation', 'Instant confirmation', 'Skip-the-line', 'Mobile ticket']","[50, 79, 159, 84, 61, 80, 55, 81, 73, 72, 86, 84]"
EXP_100043,Transfers in Tenerife,Traslado compartido aeropuerto-ciudad en minivan,"Opción económica con paradas limitadas, en minivan. Tenerife.",Transfers,Tenerife,1.8,38.21,4.5,63,"['Free cancellation', 'Instant confirmation', 'Skip-the-line']","[130, 82, 119, 128, 63, 65, 126, 90, 115, 74, 116, 89]"
EXP_100044,Tickets and Events in Seville,Entrada combinada: la Plaza de España con guía local,Ticket combinado que incluye la Plaza de España y museos asociados.,Tickets and Events,Seville,6.2,150.01,4.9,865,"['Free cancellation', 'Instant confirmation']","[99, 149, 104, 95, 100, 102, 54, 99, 96, 147, 50, 69]"
EXP_100045,Local Experiences in Tenerife,Experiencia gastronómica: vinos volcánicos con guía local,Menú degustación en torno a vinos volcánicos con maridaje.,Local Experiences,Tenerife,3.6,78.57,4.8,105,"['Instant confirmation', 'Wheelchair accessible', 'Skip-the-line']","[75, 82, 104, 84, 77, 80, 98, 76, 99, 100, 91, 102]"
